Package,Version,License(s),Patches
8021xd,1,https://opensource.org/licenses/GPL-2.0,
ated,1,https://opensource.org/licenses/GPL-2.0,
avahi-autoipd,0.6.31-6,https://opensource.org/licenses/LGPL-2.1,
avahi-daemon,0.6.31-6,https://opensource.org/licenses/LGPL-2.1,
avahi-dnsconfd,0.6.31-6,https://opensource.org/licenses/LGPL-2.1,
avahi-utils,0.6.31-6,https://opensource.org/licenses/LGPL-2.1,
base-files,156-unknown,https://opensource.org/licenses/GPL-2.0,
binutils,2.24-2,"https://opensource.org/licenses/GPL-2.0
https://opensource.org/licenses/GPL-3.0",
block-mount,2014-06-22-e0430f5c62f367e5a8e02755412977b02c3fc45e,https://opensource.org/licenses/GPL-2.0,
btnd,1,https://opensource.org/licenses/GPL-2.0,
busybox,1.22.1-3,https://opensource.org/licenses/GPL-2.0,
ca-certificates,20140325,https://opensource.org/licenses/GPL-2.0,
curl,7.38.0-1,https://curl.haxx.se/docs/copyright.html,
dbus,1.8.8-1,"https://opensource.org/licenses/GPL-2.0
https://opensource.org/licenses/GPL-3.0",
dnsmasq,2.71-4,"https://opensource.org/licenses/GPL-2.0
https://opensource.org/licenses/GPL-3.0",
dropbear,2014.63-2,https://opensource.org/licenses/MIT,
e2fsprogs,1.42.4-1,"https://opensource.org/licenses/GPL-2.0
https://opensource.org/licenses/GPL-3.0",
eth_mac,1,https://opensource.org/licenses/GPL-2.0,
fdisk,2.24.1-1,http://static.fsf.org/nosvn/directory/fdl-1.3-standalone.html,
firewall,2014-09-19,https://opensource.org/licenses/GPL-2.0,
fstools,2014-06-22-e0430f5c62f367e5a8e02755412977b02c3fc45e,https://opensource.org/licenses/MIT,
fuse-utils,2.9.0-2,https://opensource.org/licenses/GPL-2.0,
gdb,7.5-1,"https://opensource.org/licenses/GPL-2.0
https://opensource.org/licenses/GPL-3.0",
gpio,1,https://opensource.org/licenses/MIT,0309-gpio_button_timing_fix.patch
hostapd,2014-06-03.1-1,https://opensource.org/licenses/BSD-3-Clause,
hostapd-common,2014-06-03.1-1,https://opensource.org/licenses/BSD-3-Clause,
hwclock,2.24.1-1,https://opensource.org/licenses/GPL-2.0,
i2c-tools,2014-06-20-1,"https://opensource.org/licenses/GPL-2.0
https://opensource.org/licenses/GPL-3.0",0312-eaton_i2c_config.patch
iftop,1.0pre2-1,"https://opensource.org/licenses/GPL-2.0
https://opensource.org/licenses/GPL-3.0",
ip6tables,1.4.21-1,https://opensource.org/licenses/GPL-2.0,
iperf,2.0.5-1,https://opensource.org/licenses/BSD-3-Clause,
iptables,1.4.21-1,https://opensource.org/licenses/GPL-2.0,
iw,3.15-1,https://opensource.org/licenses/GPL-2.0,
jansson,2.7-1,https://opensource.org/licenses/MIT,
jshn,2014-08-04-dffbc09baf71b294185a36048166d00066d433b5,https://opensource.org/licenses/GPL-2.0,
jsonfilter,2014-06-19-cdc760c58077f44fc40adbbe41e1556a67c1b9a9,https://opensource.org/licenses/GPL-2.0,
kernel - 3.10.14,3.10.14-p112871-1-79d5ba86a736a281f2198e6944350a6d,https://opensource.org/licenses/GPL-2.0,
kmod-cfg80211,3.10.14-p112871+2014-05-22-1,https://opensource.org/licenses/ISC,
kmod-crypto-aes,3.10.14-p112871-1,https://opensource.org/licenses/MIT,
kmod-crypto-arc4,3.10.14-p112871-1,https://opensource.org/licenses/BSL-1.0,
kmod-crypto-core,3.10.14-p112871-1,https://www.openssl.org/source/license.txt,
kmod-crypto-des,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-crypto-ecb,3.10.14-p112871-1,https://golang.org/LICENSE,
kmod-crypto-hash,3.10.14-p112871-1,https://opensource.org/licenses/MIT,
kmod-crypto-hmac,3.10.14-p112871-1,https://opensource.org/licenses/BSD-3-Clause,
kmod-crypto-manager,3.10.14-p112871-1,http://cryptomanager.com/licensing.php,
kmod-crypto-md4,3.10.14-p112871-1,https://opensource.org/licenses/BSD-3-Clause,
kmod-crypto-md5,3.10.14-p112871-1,https://opensource.org/licenses/BSD-3-Clause,
kmod-crypto-pcompress,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-crypto-sha256,3.10.14-p112871-1,https://opensource.org/licenses/MIT,
kmod-fs-cifs,3.10.14-p112871-1,https://opensource.org/licenses/GPL-3.0,
kmod-fuse,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-gpio-dev,3.10.14-p112871-1,https://opensource.org/licenses/MIT,
kmod-hid,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-hw_kwdg,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-hw_wdg,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-i2c-core,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-i2c-ralink,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-input-core,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-input-evdev,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-ip6tables,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-ipt-conntrack,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-ipt-core,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-ipt-nat,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-ipv6,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-leds-gpio,3.10.14-p112871-1,https://opensource.org/licenses/BSD-3-Clause,
kmod-lib-crc-ccitt,3.10.14-p112871-1,https://opensource.org/licenses/GPL-3.0,
kmod-lib-crc16,3.10.14-p112871-1,https://opensource.org/licenses/GPL-3.0,
kmod-lib-lzo,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-mac80211,3.10.14-p112871+2014-05-22-1,https://opensource.org/licenses/GPL-2.0,
kmod-mt7620,3.10.14-p112871+p4rev-120998-1,https://opensource.org/licenses/GPL-2.0,
kmod-nls-base,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-ppp,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-pppoe,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-pppox,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-rdm,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
